,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
34,34,@BBC,"#HappyHarryween - @BBCLater have announced @Harry_Styles will make his show debut on 21st November!   🙌🤩
He joins… https://t.co/kBIAXlqc0e",0.0,0.0,0.0,1.0
35,35,@BBC,"Social media accounts for your pets - yes or no?  🐶🤔
https://t.co/zQrbMEFsWn",0.128,0.194,0.158,0.647
36,36,@BBC,📣TEACHERS! There is a live programme from @BBCTeach coming next Monday at 8pm - @maddiemoate will host a special sh… https://t.co/4X1myui19D,0.4574,0.15,0.0,0.85
37,37,@BBC,"For @adamlambert, performing with @QueenWillRock has been a dream come true.  🙌
https://t.co/suWyecxsWv",0.5859,0.304,0.0,0.696
38,38,@BBC,Artist and writer @GAIKASAYS unearths the tragic story of a British lynching that took place during the 1919 race r… https://t.co/Cn8xU0LQBx,-0.4588,0.0,0.136,0.864
39,39,@BBC,"Ten big-name actors, including #JimBroadbent, #JodieWhittaker, #DavidTennant and #OliviaColman, come together to re… https://t.co/w9jJZTy6TD",0.0,0.0,0.0,1.0
40,40,@BBC,"The red squirrel population is under threat in the UK. What can we do to help?

Countryfile Autumn Diaries. Now str… https://t.co/OUOIGzt6LS",-0.1779,0.103,0.13,0.766
41,41,@BBC,"This is so sweet!

The moment when @Camila_Cabello fangirls over @EmiliaClarke. 
#TheGNShow https://t.co/mMrPuE6euL",0.632,0.257,0.0,0.743
42,42,@BBC,"When Olivia Colman organises the one and only @TaylorSwift13 to come and surprise you in the studio... 😍 

@BBCCiN… https://t.co/PAz6ksZR2Z",0.6249,0.195,0.0,0.805
43,43,@BBC,"Bronx school stabbing: 'How did the killer become the victim?'
A new @BBCThree documentary speaks to people at the… https://t.co/ABl6CZatI6",-0.6486,0.0,0.193,0.807
44,44,@BBC,"Would you swipe right...?  🐸❤️😂 #QI
https://t.co/dQT5lJVdZf",0.0,0.0,0.0,1.0
45,45,@BBC,"A list of the richest under-30s in the UK has been published - who makes the cut this year?  💰
👉… https://t.co/UiOiiOGRlS",0.3182,0.139,0.086,0.776
46,46,@BBC,RT @BBCiPlayer: Disgusted by hot priests and Brummie gangsters? Maybe BBC iPlayer just isn’t for you… #WastedOnSome https://t.co/6bbK7Trs7T,-0.5267,0.0,0.167,0.833
47,47,@BBC,"A deal's a deal.
From @kris_n_dave via @BBCScotland 
https://t.co/orB4Tlqm1I",0.0,0.0,0.0,1.0
48,48,@BBC,"Cooking with your best mate is a real test of friendship.  🤬
#ThisCountry | @BBCThree.
https://t.co/1MfUnFGaES",0.7964,0.307,0.0,0.693
49,49,@BBC,"'Women's Time' is part of a local radio programme in Malawi, where women are invited to the studio to discuss topic… https://t.co/Lf4M798nvl",0.0,0.0,0.0,1.0
50,50,@BBC,"Find a bestie who’ll tell you when you’re being a right scumbag. 😂
@blakeharrison23 #WorldOnFire 
https://t.co/qirYbjPIsa",-0.3182,0.153,0.245,0.602
51,51,@BBC,"""You have the courage to imagine a future that puts our beautiful planet first."" 🌍

@elliegoulding urges young peop… https://t.co/Xkn65aR7s3",0.7964,0.272,0.0,0.728
52,52,@BBC,"Would you like to control what you hear at a concert? 
@eltonofficial is testing out a new app that lets you mix th… https://t.co/oHraWIhE3k",0.3612,0.106,0.0,0.894
53,53,@BBC,RT @BBCBreaking: Jeremy Corbyn says Labour will support early general election ahead of Boris Johnson's latest bid for December poll https:…,0.4019,0.119,0.0,0.881
54,54,@BBC,"""Prayer is the greatest freedom of all."" 
Father Giles, has been a Benedictine monk for 47 years.
https://t.co/WdgPOXdrq0",0.8555,0.359,0.0,0.641
55,55,@BBC,"Can drinking red wine ever be good for us?  🍷
👉 https://t.co/F5SlKesWi8 https://t.co/G4b2KMEbAV",0.4404,0.153,0.0,0.847
56,56,@BBC,"Forever waiting for The Drop.  🙌
#ThisCountry | @BBCThree.
https://t.co/JXtC4so4oE",-0.2732,0.0,0.189,0.811
57,57,@BBC,British Paralympian Ollie Hynd has said it's 'important to not just see the medals' when it comes to Paralympic ath… https://t.co/0hYzH5BKdY,0.2023,0.083,0.0,0.917
58,58,@BBC,A study from @OfficialUoM has found that people with long-term health problems are more likely to feel pain when th… https://t.co/Xz0TK8f0Mu,-0.7184,0.0,0.25,0.75
59,59,@BBC,"RT @BBCSounds: 🤔 How does a @BBCStrictly pro dance come together? 

🎤 @Joe_Sugg finds out all from @dbuzz6589!

🎧 Listen to the official St…",0.0,0.0,0.0,1.0
60,60,@BBC,"RT @BBCCiN: 📣 ANNOUNCEMENT 📣

As revealed on @BBCStrictly: It Takes Two, @BBCEastenders stars will be taking to the Strictly Ballroom, alon…",0.0,0.0,0.0,1.0
61,61,@BBC,"Learning to drive small cars helps rats feel less stressed, scientists have found. 🐀🚗
👉 https://t.co/wQ8fgqB7dm https://t.co/JMFqmJgy3m",0.1263,0.115,0.093,0.793
62,62,@BBC,"Anastasia was forced to flee from the 2018 California fires separately from her husband, while eight months' pregna… https://t.co/evZlw7mQzw",-0.4588,0.0,0.143,0.857
63,63,@BBC,"What's the secret to reaching 100 years of age in good health? 👴 👵
https://t.co/wSh2Ub2Zkc",0.5719,0.239,0.0,0.761
64,64,@BBC,"Junior doctor Sofia is put to the test with an on the spot diagnosis. 
#JuniorDoctors | @BBCThree.
https://t.co/bj9NewVlNa",0.0,0.0,0.0,1.0
65,65,@BBC,"Happy #Diwali!

Learn more about the #FestivalOfLights and how it's celebrated here.
👉 https://t.co/uTE9FUiRut… https://t.co/uGPahNs4Nk",0.8268,0.325,0.0,0.675
66,66,@BBC,"Post Traumatic Stress Disorder diagnosis rates in the UK military have increased over the past decade, and research… https://t.co/nNhxw6UdgR",-0.7964,0.08,0.35,0.57
