,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
167,67,@CBS,@actravlr ❤️ #BobHeartsAbishola https://t.co/mx5hqWcOAs,0.0,0.0,0.0,1.0
168,68,@CBS,@Peteythegreat We're glad she ❤️ it. #BobHeartsAbishola https://t.co/08gd8HxkVB,0.4588,0.273,0.0,0.727
169,69,@CBS,@AnneLaBarbera Um... 😉 #BobHeartsAbishola https://t.co/AM70IzYnkp,0.0,0.0,0.0,1.0
170,70,@CBS,@jrrbusby Here we go! #BobHeartsAbishola https://t.co/LIPogqDuc3,0.0,0.0,0.0,1.0
171,71,@CBS,"Say 👋 to a new episode of #BobHeartsAbishola, which starts NOW. https://t.co/Ea2I3nTbdg",0.4939,0.225,0.0,0.775
172,72,@CBS,Glad to see these girls are alright after giving Kristen a bit of a fright in last Thursday's Halloween episode of… https://t.co/CCHoB4LwT9,0.5859,0.285,0.1,0.615
173,73,@CBS,"RT @InsideEdition: Inspired by the new @CBS series ""Evil,"" we teamed up with the Gotham Paranormal Society to see if the ""most violent stre…",-0.2484,0.109,0.143,0.748
174,74,@CBS,We ask @BillyGardell and @TheFolake some questions from the ❤️ before an all-new #BobHeartsAbishola tonight at 8:30… https://t.co/JEQ1gaP21D,0.0,0.0,0.0,1.0
175,75,@CBS,We can't fight this feeling any longer. #theneighborhood https://t.co/AcZhQHtKGT,0.4232,0.352,0.0,0.648
176,76,@CBS,"RT @CBSWatch: .@CBSEveningNews anchor and managing editor, @NorahODonnell, goes to our nation’s capital in her first look for Watch! magazi…",0.0,0.0,0.0,1.0
177,77,@CBS,Order in the court! All eyes on Lola when she presides over a celebrity's murder trial on tonight's #AllRise at 9/8… https://t.co/aVwL89SC93,-0.7177,0.0,0.2,0.8
178,78,@CBS,Due to #NFL overrun #CBS Sunday programs delayed ONLY in EAST/CENTRAL Time Zones. New start times: #60Minutes 7:41E… https://t.co/43BlXGlmO9,-0.2263,0.0,0.095,0.905
179,79,@CBS,Halloween night. Mayhem ensues. Catch up on the latest episode of #Evil on https://t.co/N03vcOnudu https://t.co/ioHYjTuwfR,0.0,0.0,0.0,1.0
180,80,@CBS,🏈 Week 8 is here and NFL on CBS is bringing you a doubleheader. Check out the schedule and stream your local games… https://t.co/ASn8h4oof8,0.0,0.0,0.0,1.0
181,81,@CBS,"#BB21 may be over, but the Houseguests have a lot of wisdom to share with future @CBSBigBrother players. Check it o… https://t.co/ck8EtwrMAK",0.8126,0.28,0.0,0.72
182,82,@CBS,"This #H50 Halloween, @MasiOka as Keanu Reeves returned. Check out the Gallery of Whoa and tell us which one was you… https://t.co/XwdxTgFsFW",0.0,0.0,0.0,1.0
183,83,@CBS,Sometimes the talented cast of #CarolsSecondAct gets a tickle in their funny bone. Enjoy these laugh-out-loud bloop… https://t.co/4Kwvpe9ptd,0.8555,0.402,0.0,0.598
184,84,@CBS,"RT @CBSAllAccess: New episodes of @MomCBS, #EvilCBS, @StarTrekCBS #ShortTreks, and the entire first season of #WhyWomenKill are now streami…",0.0,0.0,0.0,1.0
185,85,@CBS,@DelightfulDame You got it. #CarolsSecondAct https://t.co/LiKz0TYWyv,0.0,0.0,0.0,1.0
186,86,@CBS,RT @etnow: ET is taking you inside a day in the life of @NorahODonnell ahead of her daily evening broadcast of @CBSEveningNews. https://t.c…,0.0,0.0,0.0,1.0
187,87,@CBS,"RT @judois: Man,this show really pulled out all the stops for Halloween. That last shot was perfect. Bravo! #Evil #CBS",0.5255,0.169,0.068,0.763
188,88,@CBS,Happy almost #Halloween. Thanks for watching #Evil tonight. https://t.co/syQgkOdzyY,0.7447,0.475,0.0,0.525
189,89,@CBS,@JustCurious37 Do you want to hear the end of the story? #Evil,0.0772,0.106,0.0,0.894
190,90,@CBS,RT @RyanBartholomee: This is some great acting! 😳 #Evil @CBS,0.6588,0.305,0.0,0.695
191,91,@CBS,You have to see it to believe it. #Evil https://t.co/kROT58k7WL,0.0,0.0,0.0,1.0
192,92,@CBS,@lovingzfun #Evil https://t.co/gSyJc84uQh,0.0,0.0,0.0,1.0
193,93,@CBS,@SheilsMcGangsta @aasif @katjaherbers @realmikecolter We can. #Evil,0.0,0.0,0.0,1.0
194,94,@CBS,"RT @aasif: Name that homage.
#EVIL https://t.co/sMcCBCrvVg",0.0,0.0,0.0,1.0
195,95,@CBS,@FSMMedia Inspired. #Evil https://t.co/uPjIi0f4Hs,0.4939,0.516,0.0,0.484
196,96,@CBS,RT @Bec_Heim: This episode is going to be a really challenging conflict for Kristen and David's main dynamic. #Evil #EvilCBS,0.2298,0.195,0.112,0.694
197,97,@CBS,RT @aasif: Part-time demon fighters. Full-time Blues Brothers impersonators. @katjaherbers @realmikecolter #EVIL https://t.co/pvgRLsHl75,-0.0516,0.0,0.091,0.909
198,98,@CBS,RT @SheilsMcGangsta: Oooooh I like the Ben and Vanessa vibes #EVIL https://t.co/XAPRbqtfA6,0.3612,0.2,0.0,0.8
199,99,@CBS,RT @aasif: Raise your hand if you have a bad feeling about this Brenda girl 🙋🏽‍♂️#EVIL @CBS,0.0516,0.222,0.165,0.613
200,0,@CNN,"As protesters in Lebanon, Iraq, Chile, Bolivia, Hong Kong and Spain railed against governments they felt had abando… https://t.co/OrlDIGqORb",-0.2263,0.0,0.095,0.905
201,1,@CNN,"In the wake of O'Rourke's early exit from the 2020 race, supporters were left wondering how it was all possible: Ho… https://t.co/XrY5oCBLpG",0.4404,0.121,0.0,0.879
202,2,@CNN,"Ukraine's war had all but been forgotten by the outside world, until America's political crisis catapulted it into… https://t.co/3hSi1z78jt",-0.8873,0.0,0.395,0.605
203,3,@CNN,"Demand for fake meat products is surging in the Western world, usually in burger form -- but China has been eating… https://t.co/uBdKqmrBPc",-0.3182,0.0,0.142,0.858
204,4,@CNN,How President Trump became more Florida Man than Manhattanite | Analysis by @stcollinson https://t.co/sh67ypgf93,0.0,0.0,0.0,1.0
205,5,@CNN,A 60-year-old man died in a climbing accident in Washington on Thursday https://t.co/AiOi02JIiW,-0.7717,0.0,0.427,0.573
206,6,@CNN,"""Jesus is King"" has become the ninth consecutive Kanye West album to debut at No. 1 on the Billboard charts https://t.co/OuPPkl62GA",-0.296,0.0,0.104,0.896
207,7,@CNN,"Norwegian authorities have arrested high-profile American white supremacist Greg Johnson, hours before he was due t… https://t.co/FDF6WB4SNY",-0.3818,0.077,0.158,0.765
208,8,@CNN,"""You're the one that I want."" The black leather jacket and skin-tight pants worn by singer and actress Olivia Newto… https://t.co/uLeioc03Lw",-0.296,0.0,0.104,0.896
209,9,@CNN,"Departing from Rome at 10am local time on Sunday, the Boeing 747 Jumbo took a one-time flightpath to create the sha… https://t.co/kPcbaJAB06",0.2732,0.095,0.0,0.905
210,10,@CNN,"President Trump was met with loud, sustained boos and some cheers as he entered Madison Square Garden for the Ultim… https://t.co/4W0Gov3bM6",0.4767,0.134,0.0,0.866
211,11,@CNN,"In the wake of O'Rourke's early exit from the 2020 race, supporters were left wondering how it was all possible: Ho… https://t.co/a080fS0gww",0.4404,0.121,0.0,0.879
212,12,@CNN,"""Your insurance is like a bad boyfriend. Girl, listen to me, you need to leave him,"" Kate McKinnon's Elizabeth Warr… https://t.co/ifUmi2cSr8",-0.296,0.103,0.194,0.702
213,13,@CNN,". @LisaLing meets two convicted female killers to explore what led them to their crimes, and the unique circumstanc… https://t.co/DasIwj5HNP",-0.6486,0.0,0.193,0.807
214,14,@CNN,Got to sleep in this morning? Here's a history of Daylight Saving Time https://t.co/LcCboBLcIZ,0.0,0.0,0.0,1.0
215,15,@CNN,"A 60-year-old Texas man died in a climbing accident while descending a mountain near Leavenworth, Washington, accor… https://t.co/gRfXjXRixP",-0.7717,0.0,0.34,0.66
216,16,@CNN,"Two suspects escaped from a Northern California jail early Sunday, the Monterey County Sheriff's Office said https://t.co/QE2qAV9EC7",-0.34,0.0,0.138,0.862
217,17,@CNN,"Florida State University fired head football coach Willie Taggart, one day after the struggling Seminoles lost 27-1… https://t.co/gjYN9ukVTe",-0.8271,0.0,0.367,0.633
218,18,@CNN,"Lena Dunham took to social media to tell the world she's dealing with Ehlers-Danlos syndrome, a chronic disease tha… https://t.co/YYP3111d7T",0.0,0.0,0.0,1.0
219,19,@CNN,"Columbia Sportswear ""matriarch"" Gert Boyle has died at age 95, the company announced Sunday https://t.co/7ZtvjugIUT",-0.5574,0.0,0.205,0.795
220,20,@CNN,The day has finally come. The sorely-missed Popeyes chicken sandwich is back and people are acting ridiculous https://t.co/rPxyN7jdxF,-0.3612,0.0,0.128,0.872
221,21,@CNN,Popeyes is bringing back its spicy chicken sandwich. The company has announced the sandwich is returning as a perma… https://t.co/Z1Xi7Qcciw,0.0,0.0,0.0,1.0
222,22,@CNN,A woman in California is recovering after being impaled in the leg by a large metal bar that fell off a big truck w… https://t.co/wKFuza5lFh,0.0,0.0,0.0,1.0
223,23,@CNN,"There's just one thing that separates her from all the other influencers.
She's a bee. https://t.co/SnRR6MW50R",0.0,0.0,0.0,1.0
224,24,@CNN,"In exactly one year, Americans will head to the ballot boxes to vote in presidential, Senate and gubernatorial elec… https://t.co/DAuXvdbY0B",0.0,0.0,0.0,1.0
225,25,@CNN,Lewis Hamilton clinched his sixth world title with second place behind Mercedes teammate Valtteri Bottas in the US… https://t.co/yrYe57uKHr,0.0,0.0,0.0,1.0
226,26,@CNN,Sia thanked fans on Saturday for sending supportive messages she says saved her life following the recent death of… https://t.co/czdBpJbzj7,0.4588,0.284,0.14,0.576
227,27,@CNN,Steve Easterbrook is out as McDonald's CEO and president after the board determined that he violated company policy… https://t.co/GxnS05U1JB,-0.25,0.105,0.149,0.746
228,28,@CNN,"""Yes, this most unusual revolver was not designed to spin bullets,"" TSA joked in a press release. ""It was designed… https://t.co/h1DvfujwWJ",0.3182,0.108,0.0,0.892
229,29,@CNN,"Former president Jimmy Carter said Sunday that he found he ""was absolutely and completely at ease with death"" when… https://t.co/jLbP4KuuA3",-0.2782,0.113,0.158,0.729
230,30,@CNN,"The House committees leading the impeachment inquiry are hoping to hear from Robert Blair, an assistant to Presiden… https://t.co/ig67YLpnMR",0.4215,0.135,0.0,0.865
231,31,@CNN,Former Republican Congressman and 2020 presidential hopeful Joe Walsh is slamming Fox News and conservative talk ra… https://t.co/lS2Kiea8gH,0.5106,0.163,0.0,0.837
232,32,@CNN,Members of the early 2000s rap-rock group Crazy Town were bloodied but safe after their tour van smashed into a moo… https://t.co/D5NrpdoReg,0.4854,0.157,0.069,0.774
233,33,@CNN,"As protesters in Lebanon, Iraq, Chile, Bolivia, Hong Kong and Spain railed against governments they felt had abando… https://t.co/EuZGFl7SGO",-0.2263,0.0,0.095,0.905
234,34,@CNN,"Norwegian authorities have arrested high-profile American white supremacist Greg Johnson, hours before he was due t… https://t.co/u5UreeHut8",-0.3818,0.077,0.158,0.765
235,35,@CNN,"Vermont Sen. Bernie Sanders criticized his 2020 presidential rival Sen. Elizabeth Warren's funding plan for ""Medica… https://t.co/qGPJu6CBgX",-0.3612,0.0,0.135,0.865
236,36,@CNN,"Biden is at 28% among Democratic voters and independents who lean Democratic, while Warren, a Massachusetts Democra… https://t.co/dtt6Zew5ah",0.0,0.0,0.0,1.0
237,37,@CNN,"Organizations report high numbers of missing black children, but the cases don't often receive much attention https://t.co/Y6dv4rpCac",-0.1531,0.0,0.091,0.909
238,38,@CNN,Omar Taylor was at a Northern California Halloween party hoping to entertain the crowd with music https://t.co/KEs4vhJxz8,0.7783,0.375,0.0,0.625
239,39,@CNN,"""You're the one that I want."" The black leather jacket and skin-tight pants worn by singer and actress Olivia Newto… https://t.co/OPgXeh8hB1",-0.296,0.0,0.104,0.896
240,40,@CNN,"Rudy Boesch, who was a contestant on the first season of CBS' ""Survivor,"" has died, the SEAL Veterans Foundation sa… https://t.co/ALuGnQ9XoQ",-0.5574,0.0,0.159,0.841
241,41,@CNN,"Departing from Rome at 10am local time on Sunday, the Boeing 747 Jumbo took a one-time flightpath to create the sha… https://t.co/gceMc0JPCM",0.2732,0.095,0.0,0.905
242,42,@CNN,"President Trump was met with loud, sustained boos and some cheers as he entered Madison Square Garden for the Ultim… https://t.co/hdNg7MbIRp",0.4767,0.134,0.0,0.866
243,43,@CNN,"A doctor said he saw mold growing on the walls in ICE detention. But he couldn't do anything -- he was detained, to… https://t.co/DMygFjEif4",-0.6059,0.051,0.199,0.75
244,44,@CNN,Got to sleep in this morning? Here's a history of Daylight Saving Time https://t.co/lC9lQs80YK,0.0,0.0,0.0,1.0
245,45,@CNN,High winds and heavy rains dislodged the remains of a barge in the rapids above Niagara Falls that had been there 1… https://t.co/ZqeZicwJV8,0.0,0.0,0.0,1.0
246,46,@CNN,Joyciline Jepkosgei ruined her esteemed countrywoman's chance at a fifth women's title in the New York City Marathon https://t.co/8d0wFfwktF,0.2023,0.213,0.135,0.652
247,47,@CNN,White House senior counselor Kellyanne Conway said that she does not know if President Trump withheld US military a… https://t.co/csbEpnwOiU,0.0,0.0,0.0,1.0
248,48,@CNN,"Mark Zaid, an attorney for the anonymous whistleblower, said he offered to have Republican lawmakers submit questio… https://t.co/kwwmRPyymf",0.0,0.0,0.0,1.0
249,49,@CNN,"""Your insurance is like a bad boyfriend. Girl, listen to me, you need to leave him,"" Kate McKinnon's Elizabeth Warr… https://t.co/Ep2vjZlTB2",-0.296,0.103,0.194,0.702
250,50,@CNN,"When deputies arrived, they found a woman unconscious with her 12-year-old daughter, a 7-year-old boy, a 1-year-old… https://t.co/S0coMW0mBl",0.0,0.0,0.0,1.0
251,51,@CNN,Fresh baked cookies in space? https://t.co/yoO3wxtl49,0.3182,0.315,0.0,0.685
252,52,@CNN,"An explosion at a Dow chemical plant in Plaquemine, Louisiana, created a loud noise but left no injuries and has no… https://t.co/Y50dy1jSzh",-0.3182,0.067,0.126,0.807
253,53,@CNN,"Businessman Andrew Yang said he supports ""Medicare for All"" but would keep the option of private insurance, in star… https://t.co/TfaPGABWRQ",0.1901,0.084,0.0,0.916
254,54,@CNN,"Flights to and from New Delhi's international airport were delayed and diverted as pollution reached ""unbearable"" l… https://t.co/r1gfTJ7N5D",-0.128,0.073,0.098,0.829
255,55,@CNN,"The latest: Kellyanne Conway, counselor to the President, said today that asking a foreign leader to investigate a… https://t.co/aos5jXtoDi",0.0,0.0,0.0,1.0
256,56,@CNN,"In the wake of O'Rourke's early exit from the 2020 race, supporters were left wondering how it was all possible: Ho… https://t.co/RROu7eHyAv",0.4404,0.121,0.0,0.879
257,57,@CNN,Less than a week after President Trump reversed course on his plan to host next year's G-7 at his Trump National Do… https://t.co/9MrwPB2pXu,0.0,0.0,0.0,1.0
258,58,@CNN,Lyft announced a new initiative that will give riders free or discounted rides to work and during the first three w… https://t.co/GG9jsjCewM,0.5423,0.191,0.0,0.809
259,59,@CNN,"""We’re going to have to work hard to reestablish our credibility, not just there and not just with them, but really… https://t.co/BRMlyz7dxT",-0.0516,0.0,0.054,0.946
260,60,@CNN,"At $249, the new AirPods Pro cost quite a bit more than the base model. Here are the new features that come with th… https://t.co/TE93W3uDa1",0.0,0.0,0.0,1.0
261,61,@CNN,#FareedsTake: “The death of Abu Bakr al-Baghdadi is a real victory in the war against terror groups. But as recent… https://t.co/YTUZZ4XeoZ,-0.7269,0.0,0.295,0.705
262,62,@CNN,Watch these astronauts play baseball in zero-gravity aboard the International Space Station as part of a televised… https://t.co/trpb5g7uGN,0.3612,0.189,0.0,0.811
263,63,@CNN,"It’s an unfathomable crime, but could an illness be to blame? @LisaLing explores the dangerous effects of postpartu… https://t.co/hTisaswzrb",-0.9194,0.0,0.465,0.535
264,64,@CNN,"These energy kites can go where wind turbines can't. Makani, which is owned by Google's parent company Alphabet, ho… https://t.co/jpzfn8ACB1",0.2732,0.1,0.0,0.9
265,65,@CNN,This coal CEO supported Trump. Now his company is bankrupt. https://t.co/Lzkc0YebkD https://t.co/DIHS9DvNZe,-0.3182,0.145,0.226,0.629
266,66,@CNN,"""This baby fell out of the sky and landed in our yard."" 

A Samsung device sent into the stratosphere to take space… https://t.co/Vpy1IfVOVz",0.0,0.0,0.0,1.0
267,67,@CNN,"A former soldier from Nepal has climbed the world's 14 highest peaks in just over six months, smashing the previous… https://t.co/SQHnS3FBqo",0.0,0.0,0.0,1.0
268,68,@CNN,"The number of uninsured children grew by more than 400,000 between 2016 and 2018, an unprecedented decline in healt… https://t.co/d4v0oaKZ7U",0.0772,0.064,0.0,0.936
269,69,@CNN,LaGuardia Airport in New York has unveiled its new $3.9 billion Delta Air Lines terminal. It's the latest phase in… https://t.co/VFYepknDv9,0.0,0.0,0.0,1.0
270,70,@CNN,"Bobe was orphaned in the firefight. But thanks to a Syrian photojournalist and a sympathetic veterinarian clinic, t… https://t.co/P9okeGuMwN",0.8519,0.356,0.0,0.644
271,71,@CNN,"In her final speech on the House floor, Rep. Katie Hill apologized more than a half-dozen times for mistakes that l… https://t.co/dNRVO3Tc3m",-0.0516,0.097,0.105,0.798
272,72,@CNN,"This dad spent nearly 100 hours on an elaborate fighter jet costume for his son with cerebral palsy and autism, who… https://t.co/Ic1KD1x4y4",0.1531,0.071,0.0,0.929
273,73,@CNN,People who died as a result of a mysterious outbreak of vaping-related lung injury often used products exclusively… https://t.co/yhCPZdtir2,-0.7506,0.0,0.299,0.701
274,74,@CNN,"Gursimran Singh, a computer science student at Georgia Tech, spelled out ""HIRE ME"" across the windows of his apartm… https://t.co/a20QakVAjK",0.0,0.0,0.0,1.0
275,75,@CNN,"Scientists seeking a more specific location have narrowed in on northern Botswana as the ""homeland"" for all modern… https://t.co/iIa1OVjtE4",0.0,0.0,0.0,1.0
276,76,@CNN,"A package of marijuana has been retrieved from the nose of a man 18 years after he smuggled it into prison, in what… https://t.co/sBlRoNPTgK",-0.7003,0.0,0.225,0.775
277,77,@CNN,"McDonald's has pulled a ""Sundae Bloody Sundae"" ad and apologized. 

Bloody Sunday is the name for the day in 1972 o… https://t.co/z8sEY7vkuu",-0.5423,0.088,0.222,0.69
278,78,@CNN,16 things you *must* do in Japan https://t.co/7pewlebcIb https://t.co/f2OibCOa2C,0.0,0.0,0.0,1.0
279,79,@CNN,"The entire Arctic mining town of Kiruna, Sweden, is moving two miles to avoid sinking into the earth. More than 18,… https://t.co/jAseOHCNjG",-0.296,0.0,0.095,0.905
280,80,@CNN,"Father Ricardo Rivera, a theology teacher at Cardinal Gibbons High School in Fort Lauderdale, Florida, has gone vir… https://t.co/yucLBC2WVI",0.0,0.0,0.0,1.0
281,81,@CNN,"Rogue River Blue took the top prize at the 2019 World Cheese Awards, marking the first time a US cheese has ever be… https://t.co/1j0Kpx5a9n",0.7964,0.288,0.0,0.712
282,82,@CNN,CNN's @HeySamantha tried Apple's AirPods Pro. Here's everything you need to know about the new $249 earbuds.… https://t.co/kOqI4EDtWQ,0.0,0.0,0.0,1.0
283,83,@CNN,"Dogs and their sensitive noses are known for finding people during search and rescue efforts, sniffing out drugs an… https://t.co/eEY5WGkWEX",0.5106,0.148,0.0,0.852
284,84,@CNN,This is what it's like to drive the most powerful factory-produced car Ford has ever made https://t.co/KXd6kdjuFY https://t.co/d3fzAhkUBo,0.6801,0.259,0.0,0.741
285,85,@CNN,"Measles can erase the immune system's memory, leaving us vulnerable to diseases we were previously protected agains… https://t.co/MlEYkYYZmc",0.4939,0.232,0.086,0.682
286,86,@CNN,McDonald's is celebrating its 40th anniversary of the first Happy Meal by re-releasing some of its most popular toy… https://t.co/2J2pR6JFhJ,0.8883,0.382,0.0,0.618
287,87,@CNN,"An Indiana woman found dead with an 8-foot python snake wrapped around her neck died from asphyxiation, officials s… https://t.co/ME0rTLOfEm",-0.836,0.0,0.305,0.695
288,88,@CNN,McDonald's is celebrating its 40th anniversary of the first Happy Meal by re-releasing some of its most popular toy… https://t.co/d6rbcmjHyz,0.8883,0.382,0.0,0.618
289,89,@CNN,RT @cnnbrk: A top aide to White House Chief of staff Mick Mulvaney has refused to testify in the House impeachment inquiry after the White…,-0.1027,0.069,0.085,0.846
290,90,@CNN,"RT @cnnbrk: Actor Brian Tarantina, who recently appeared in ""The Marvelous Mrs. Maisel,"" has died at age 60, his manager said https://t.co/…",0.0772,0.142,0.131,0.727
291,91,@CNN,President Trump and other 2016 Trump campaign officials repeatedly privately discussed how the campaign could get a… https://t.co/L2AWKWBkf6,0.0,0.0,0.0,1.0
292,92,@CNN,Yudhijit Bhattacharjee writes about the moment the FBI began to unravel an extraordinary espionage plot involving a… https://t.co/QMA4jWqzuu,0.0,0.0,0.0,1.0
293,93,@CNN,"It's only been two weeks, and R&amp;B singer Frank Ocean has already released another surprise single https://t.co/ocm4WD9jtz",0.2732,0.116,0.0,0.884
294,94,@CNN,"Airbnb will be cracking down on unauthorized house parties, CEO Brian Chesky announced, after a shooting at a renta… https://t.co/4rVnzn3HKD",0.4019,0.137,0.0,0.863
295,95,@CNN,"Delta Air Lines says in-flight versions of the films ""Booksmart"" and Elton John's biopic ""Rocketman"" will no longer… https://t.co/Na2KBnbHcy",-0.296,0.0,0.109,0.891
296,96,@CNN,Blizzard said it was sorry and announced new games but gamers aren't happy with it. https://t.co/ePWVX2F4LQ,-0.6306,0.0,0.269,0.731
297,97,@CNN,"“What people seem to be arguing over is this idea that, ‘Oh, that's what everybody does.’ Well, we're here to say t… https://t.co/E6jd3Xcxqr",-0.2263,0.08,0.115,0.805
298,98,@CNN,"The Trump administration has indefinitely suspended military aid to support Lebanese Armed Forces, a source said https://t.co/fLisY3pRGh",-0.1027,0.136,0.157,0.707
299,99,@CNN,The Trump administration has proposed a rule that critics say will allow adoption and foster care agencies to recei… https://t.co/tMsBoDRPfL,0.4404,0.219,0.094,0.687
300,0,@FoxNews,BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM,0.0,0.0,0.0,1.0
301,1,@FoxNews,"Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo",-0.6124,0.115,0.269,0.615
302,2,@FoxNews,"JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX",-0.7783,0.0,0.362,0.638
303,3,@FoxNews,JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m,0.7906,0.389,0.0,0.611
304,4,@FoxNews,"Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, Califor… https://t.co/vOH3OWPN5S",-0.6369,0.0,0.167,0.833
305,5,@FoxNews,Tom Homan: “It’s a tragedy each and every time.” https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x,-0.6597,0.0,0.328,0.672
306,6,@FoxNews,"People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday.… https://t.co/O3Oo2iLL8O",-0.34,0.0,0.138,0.862
307,7,@FoxNews,Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY,0.0,0.0,0.0,1.0
308,8,@FoxNews,"An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman open… https://t.co/7QOmXNTYM0",0.0,0.0,0.0,1.0
309,9,@FoxNews,Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene… https://t.co/o4gArhmy4e,-0.34,0.0,0.13,0.87
310,10,@FoxNews,"People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a… https://t.co/wPI4XSpirC",0.0258,0.105,0.1,0.795
311,11,@FoxNews,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV",-0.6486,0.0,0.264,0.736
312,12,@FoxNews,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ",-0.6486,0.0,0.281,0.719
313,13,@FoxNews,"Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunm… https://t.co/jPE8k9oQHr",0.0,0.0,0.0,1.0
314,14,@FoxNews,13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte,-0.6486,0.0,0.323,0.677
315,15,@FoxNews,"12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ",-0.6486,0.0,0.281,0.719
316,16,@FoxNews,"Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5",-0.6486,0.0,0.235,0.765
317,17,@FoxNews,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK,0.0,0.0,0.0,1.0
318,18,@FoxNews,"Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5",0.0,0.0,0.0,1.0
319,19,@FoxNews,Pastor Dimas Salaberrios on California shooting: “My immediate thoughts go out to the families. Because what’s happ… https://t.co/iowf5VOL2l,0.0,0.0,0.0,1.0
320,20,@FoxNews,"Las Vegas shooting survivors were inside Thousand Oaks bar, friends say https://t.co/nW9TLTON9n",0.4767,0.22,0.0,0.78
321,21,@FoxNews,"UPDATE: At least 11 wounded in shooting at California bar, gunman dead, police say https://t.co/awRowfbeRy",-0.6486,0.0,0.235,0.765
322,22,@FoxNews,Authorities confirm gunman is dead @FoxFriendsFirst https://t.co/PvITYr54AX https://t.co/a2EIH1EWmA,-0.6486,0.0,0.381,0.619
323,23,@FoxNews,Ventura County Sheriff’s Office Captain Garo Kuredjian: “I don’t know what the condition of any of the victims are… https://t.co/96mT27WHZv,-0.3182,0.0,0.108,0.892
324,24,@FoxNews,"At least 11 shot, including sheriff’s deputy — Jonathan Hunt has the latest from the scene of the California shooti… https://t.co/sLzLyMsrn5",0.0,0.0,0.0,1.0
325,25,@FoxNews,Witnesses describe chaotic scene during Thousand Oaks shooting https://t.co/qE8RqKGjz3,-0.4939,0.0,0.286,0.714
326,26,@FoxNews,UPDATE: At least 11 people hurt in California shooting @FoxFriendsFirst https://t.co/PvITYr54AX https://t.co/RGWIkaxF4f,-0.5267,0.0,0.236,0.764
327,27,@FoxNews,"Daniel Hoffman on California shooting: “This still an active shooter scene, and the focus is on dealing with that a… https://t.co/PiwHhe5HuX",0.4019,0.119,0.0,0.881
328,28,@FoxNews,"Former Las Vegas Metro Police Lt. Randy Sutton: “Those who respond to this show incredible bravery, because they ar… https://t.co/idcJJuVRMP",0.4939,0.144,0.0,0.856
329,29,@FoxNews,"Authorities deliver a briefing on a shooting in Thousand Oaks, California. (Courtesy: KCBS) https://t.co/5VGZz3rDIL",0.0,0.0,0.0,1.0
330,30,@FoxNews,"Mass shooting at California bar, @HeatherChilders &amp; @JackieibanezFNC have the latest @FoxFriendsFirst… https://t.co/8c8H5LUFCu",0.0,0.0,0.0,1.0
331,31,@FoxNews,Tesla names Robyn Denholm as Chairman to replace Elon Musk (via @FoxBusiness) https://t.co/SKjBXxUdOD,0.0,0.0,0.0,1.0
332,32,@FoxNews,@marcthiessen: “The president today made very clear that he wants to cut deals with the Democrats. And quite frankl… https://t.co/3eA2dn4vQh,0.2006,0.126,0.091,0.783
333,33,@FoxNews,".@TuckerCarlson: ""While everyone else obsessed over dossiers and FISA warrants, Sessions worried about the mission… https://t.co/LSvnOqZMsq",-0.4404,0.0,0.218,0.782
334,34,@FoxNews,"Wife's dying wish was for him to clean up bloody crime scene, suspect claims: reports https://t.co/7Wxd39jDEB",-0.4939,0.216,0.344,0.44
335,35,@FoxNews,DEVELOPING: Massive police response after reports of shooting at California nightclub https://t.co/awRowfsPJ6,0.0,0.0,0.0,1.0
336,36,@FoxNews,".@senatemajldr Mitch McConnell said Wednesday that Democrats and Republicans will have to address health care ""on a… https://t.co/XxmktKMZ7F",0.4939,0.158,0.0,0.842
